CampaignID,CampaignName,StartDate,EndDate,Channel,Spend,LeadsGenerated,Conversions,RevenueGenerated,Clicks,Impressions,Likes,Shares,ROI_Percentage,CPA
CMP1001,Brand Awareness Drive,2025-07-08,2025-07-16,Email,2714.24,845,22,2166.43,3858,46579,3682,962,-20.18,123.37
CMP1002,Holiday Campaign,2026-03-16,2026-03-24,Influencer,19320.39,2506,298,164037.25,15446,239949,2715,2869,749.04,64.83
CMP1003,Influencer Buzz,2025-11-02,2025-11-26,Influencer,9306.28,563,34,15446.54,7698,196472,811,2998,65.98,273.71
CMP1004,Black Friday Promo,2026-02-10,2026-02-24,Event,10388.41,595,11,2853.63,3062,43427,1407,963,-72.53,944.4
CMP1005,Social Media Hype,2025-07-02,2025-08-02,Email,4173.87,830,80,52858.07,5829,105638,1269,2505,1166.4,52.17
CMP1006,Brand Awareness Drive,2025-08-07,2025-09-17,Influencer,8268.05,5558,1305,658321.39,18691,218943,1016,948,7862.23,6.34
CMP1007,Social Media Hype,2025-05-28,2025-06-24,Event,18512.86,1277,166,53998.44,4746,32653,7617,595,191.68,111.52
CMP1008,Referral Push,2025-07-22,2025-08-13,Email,6229.1,2940,294,116396.45,19621,122311,1589,202,1768.59,21.19
CMP1009,Social Media Hype,2025-07-07,2025-07-23,Influencer,20841.59,754,166,39155.54,5163,241333,9164,57,87.87,125.55
CMP1010,Brand Awareness Drive,2025-07-09,2025-08-19,Email,6380.19,512,19,9997.84,4155,99174,8301,741,56.7,335.8
CMP1011,Holiday Campaign,2025-07-05,2025-07-31,Influencer,8056.79,207,38,11591.83,1037,104698,5138,990,43.88,212.02
CMP1012,Summer Sale Blast,2025-09-12,2025-10-25,Social Media,3113.49,3801,1039,165827.21,56478,304798,7887,2261,5226.09,3.0
CMP1013,New Product Launch,2025-09-24,2025-11-03,Event,48467.6,398,62,19314.28,1747,75686,8579,1859,-60.15,781.74
CMP1014,Festive Bonanza,2025-09-15,2025-10-06,Social Media,6395.11,4225,148,32847.7,39301,358443,614,1363,413.64,43.21
CMP1015,Festive Bonanza,2026-01-30,2026-02-21,Email,5682.84,1509,497,185408.85,18169,66160,7849,1677,3162.61,11.43
CMP1016,Mega Discount Drive,2025-06-29,2025-07-12,Event,22234.8,1043,49,23550.94,3925,58883,1093,1659,5.92,453.77
CMP1017,Lead Booster,2025-11-01,2025-11-14,Influencer,8831.8,1583,188,122655.84,10186,255202,7360,2264,1288.8,46.98
CMP1018,Festive Bonanza,2025-06-06,2025-07-17,Social Media,14596.95,6395,1023,630253.16,58620,445085,1060,684,4217.7,14.27
CMP1019,Influencer Buzz,2025-05-13,2025-06-13,Email,7485.63,1533,515,218656.83,9847,129277,8073,644,2821.02,14.54
CMP1020,Mega Discount Drive,2025-10-10,2025-10-30,Social Media,9529.34,1657,80,31341.38,6994,334266,8801,654,228.89,119.12
CMP1021,Summer Sale Blast,2026-01-27,2026-02-08,Influencer,6370.43,2477,820,359922.45,16414,55631,751,2546,5549.89,7.77
CMP1022,Festive Bonanza,2025-12-12,2026-01-25,Email,7542.94,1183,185,49209.67,10795,63545,5280,307,552.39,40.77
CMP1023,Summer Sale Blast,2026-01-01,2026-02-13,Social Media,2952.39,4204,1381,863328.77,36153,161754,6154,1177,29141.69,2.14
CMP1024,New Product Launch,2025-12-22,2026-02-01,Email,5281.74,926,269,132159.97,17832,181435,2300,1093,2402.21,19.63
CMP1025,Festive Bonanza,2025-07-05,2025-08-16,Influencer,10446.96,2368,551,210972.25,23471,130430,932,388,1919.46,18.96
CMP1026,Brand Awareness Drive,2025-12-14,2026-01-07,Social Media,2046.09,2421,275,116061.51,11573,454288,7107,2307,5572.36,7.44
CMP1027,Summer Sale Blast,2025-07-08,2025-07-19,Influencer,15911.81,1685,73,48071.56,10705,213575,753,1475,202.11,217.97
CMP1028,Mega Discount Drive,2025-09-16,2025-09-29,Email,6460.81,1565,165,95028.44,5564,116529,3000,1698,1370.84,39.16
CMP1029,Summer Sale Blast,2025-08-11,2025-09-08,Event,41496.11,205,52,5408.48,2285,37527,7811,921,-86.97,798.0
CMP1030,Mega Discount Drive,2026-01-02,2026-01-31,Email,6743.75,436,40,24635.95,7804,69662,4673,1448,265.32,168.59
CMP1031,Brand Awareness Drive,2026-01-27,2026-02-28,Email,7574.66,857,289,42543.57,9059,40236,7219,1425,461.66,26.21
CMP1032,Lead Booster,2025-10-19,2025-11-22,Social Media,7007.54,1757,82,33934.9,15457,352298,3328,1501,384.26,85.46
CMP1033,Influencer Buzz,2025-06-16,2025-07-14,Email,5643.71,1827,444,227447.53,10340,42669,9183,531,3930.11,12.71
CMP1034,Mega Discount Drive,2025-12-13,2026-01-13,Influencer,17310.3,5163,155,53712.25,27612,177784,9602,2494,210.29,111.68
CMP1035,Brand Awareness Drive,2025-10-23,2025-11-28,Event,26012.87,721,229,42412.78,4287,33010,1489,1172,63.05,113.59
CMP1036,Holiday Campaign,2026-04-01,2026-04-29,Social Media,12639.51,4013,408,38818.65,18392,443812,4111,1956,207.12,30.98
CMP1037,Flash Sale Campaign,2025-06-18,2025-07-24,Event,45103.89,563,60,5006.27,3245,30485,1846,1751,-88.9,751.73
CMP1038,Mega Discount Drive,2025-08-10,2025-09-19,Event,9159.39,179,51,35317.16,1094,37662,9855,1309,285.58,179.6
CMP1039,Customer Retention Program,2025-12-24,2026-02-01,Event,42714.47,1029,275,66192.16,3752,76810,4150,2621,54.96,155.33
CMP1040,Referral Push,2026-02-02,2026-03-12,Influencer,10491.95,2142,294,38207.7,19725,60623,2571,957,264.16,35.69
CMP1041,Influencer Buzz,2025-07-29,2025-08-18,Social Media,7393.28,6419,320,102872.2,38560,223477,9669,2858,1291.43,23.1
CMP1042,Summer Sale Blast,2026-03-02,2026-04-02,Event,7253.53,606,183,62182.15,2546,51105,9047,2480,757.27,39.64
CMP1043,Event Outreach,2025-09-01,2025-10-09,Influencer,10458.71,427,104,55015.22,2902,274616,7757,532,426.02,100.56
CMP1044,Flash Sale Campaign,2026-02-09,2026-02-17,Event,32451.39,165,12,1334.12,787,8552,6311,1350,-95.89,2704.28
CMP1045,Mega Discount Drive,2025-12-30,2026-01-26,Email,6328.61,2288,677,88539.32,9617,109385,417,2219,1299.03,9.35
CMP1046,Summer Sale Blast,2025-11-07,2025-11-28,Social Media,12156.03,1344,448,41500.75,5638,391707,2596,987,241.4,27.13
CMP1047,New Product Launch,2026-01-09,2026-01-23,Influencer,14300.68,2314,519,78374.39,25175,154345,2783,1284,448.05,27.55
CMP1048,Festive Bonanza,2026-03-04,2026-03-12,Email,5030.58,3851,359,213588.63,13497,108384,4078,427,4145.81,14.01
CMP1049,Lead Booster,2025-10-13,2025-11-27,Social Media,12350.95,3271,655,80403.33,54290,346711,5690,61,550.99,18.86
CMP1050,Social Media Hype,2025-12-13,2026-01-20,Social Media,7635.8,12185,2158,408304.21,44653,239890,8648,2674,5247.24,3.54
CMP1051,Referral Push,2026-03-23,2026-05-03,Event,26989.57,720,32,7398.25,2740,40179,7713,2344,-72.59,843.42
CMP1052,Flash Sale Campaign,2025-11-22,2025-12-20,Social Media,8425.98,2564,368,93246.88,14917,220401,9867,2882,1006.66,22.9
CMP1053,Event Outreach,2025-09-30,2025-11-11,Social Media,8716.15,950,152,34808.13,8610,150168,7900,2655,299.35,57.34
CMP1054,Lead Booster,2026-01-18,2026-02-22,Social Media,3209.69,6577,841,314047.48,29502,166180,8798,1418,9684.36,3.82
CMP1055,Influencer Buzz,2026-02-17,2026-03-17,Email,5919.98,1190,81,12484.04,10547,81019,8879,2836,110.88,73.09
CMP1056,New Product Launch,2025-08-18,2025-09-07,Event,18889.48,602,37,8178.46,4988,73765,3039,1248,-56.7,510.53
CMP1057,Summer Sale Blast,2026-02-09,2026-02-24,Email,1318.61,2292,761,416062.4,18632,24293,1780,60,31453.11,1.73
CMP1058,Flash Sale Campaign,2025-10-04,2025-11-10,Event,25940.16,58,17,2048.72,520,29164,8156,313,-92.1,1525.89
CMP1059,Flash Sale Campaign,2026-03-30,2026-04-09,Influencer,7983.95,1964,133,60636.95,6582,179297,3797,2150,659.49,60.03
CMP1060,Influencer Buzz,2025-12-28,2026-02-01,Email,7021.17,2018,99,14010.96,10506,122415,3504,2572,99.55,70.92
CMP1061,Mega Discount Drive,2025-09-24,2025-10-06,Influencer,9797.3,570,99,25797.5,11258,59355,3892,1190,163.31,98.96
CMP1062,Lead Booster,2025-10-03,2025-11-08,Social Media,10936.0,13538,2961,600040.47,54631,188702,1980,2240,5386.84,3.69
CMP1063,Mega Discount Drive,2025-07-27,2025-08-20,Influencer,6428.2,4205,1235,435059.8,21159,106991,7779,2830,6667.99,5.21
CMP1064,Referral Push,2025-12-04,2025-12-28,Event,25823.63,850,16,7969.04,3639,10224,9524,2414,-69.14,1613.98
CMP1065,Summer Sale Blast,2025-09-26,2025-11-08,Social Media,11920.42,6081,1042,727426.65,33834,141850,7241,2610,6002.36,11.44
CMP1066,Social Media Hype,2026-01-18,2026-01-30,Event,21962.33,593,180,91813.98,2730,48687,4822,2723,318.05,122.01
CMP1067,Influencer Buzz,2026-02-17,2026-02-26,Event,10786.57,217,60,35487.29,2748,38082,118,2703,229.0,179.78
CMP1068,Social Media Hype,2026-02-13,2026-03-21,Event,9330.78,629,119,13327.92,3063,72952,4475,2259,42.84,78.41
CMP1069,New Product Launch,2025-10-06,2025-11-10,Event,12221.32,178,6,1315.89,1397,36365,1958,1900,-89.23,2036.89
CMP1070,Festive Bonanza,2025-07-29,2025-09-05,Email,4562.1,3651,1254,528917.57,14114,81676,6384,790,11493.73,3.64
CMP1071,Event Outreach,2026-03-14,2026-04-22,Influencer,22280.54,3805,1073,87546.56,28193,164833,4991,2414,292.93,20.76
CMP1072,Flash Sale Campaign,2026-01-17,2026-02-02,Event,30158.96,530,108,30186.21,2823,50236,3190,2866,0.09,279.25
CMP1073,Mega Discount Drive,2026-02-28,2026-03-31,Influencer,22120.26,500,90,28472.7,3860,235364,2592,2038,28.72,245.78
CMP1074,Summer Sale Blast,2025-07-15,2025-08-23,Email,7087.9,683,120,40102.41,3767,125423,2629,316,465.79,59.07
CMP1075,Black Friday Promo,2025-09-24,2025-10-22,Event,34942.98,648,85,46820.48,4471,48065,8964,157,33.99,411.09
CMP1076,Flash Sale Campaign,2025-06-16,2025-07-08,Email,7981.98,4336,1185,168642.67,14720,33692,2825,2852,2012.79,6.74
CMP1077,Referral Push,2025-05-26,2025-06-04,Email,6573.0,1759,134,57737.3,12246,86904,3050,706,778.4,49.05
CMP1078,New Product Launch,2025-06-21,2025-07-22,Influencer,14953.35,2680,298,25576.27,16216,95034,7722,1188,71.04,50.18
CMP1079,Brand Awareness Drive,2026-02-15,2026-03-04,Social Media,7742.49,5179,1749,635303.62,41507,231175,5049,825,8105.42,4.43
CMP1080,Influencer Buzz,2026-01-14,2026-01-27,Influencer,12627.29,6079,756,369005.48,20390,208197,4597,43,2822.29,16.7
CMP1081,Flash Sale Campaign,2025-06-06,2025-07-21,Event,42812.07,400,57,26502.29,1985,42512,2340,2583,-38.1,751.09
CMP1082,Festive Bonanza,2026-03-29,2026-04-07,Email,6520.27,2752,198,55948.04,19491,18746,6907,729,758.06,32.93
CMP1083,Mega Discount Drive,2025-07-18,2025-08-28,Email,4715.97,673,197,114264.5,5891,81441,5649,481,2322.93,23.94
CMP1084,Black Friday Promo,2025-06-19,2025-07-05,Influencer,22202.81,1812,283,44324.88,24971,228358,6138,2765,99.64,78.46
CMP1085,Lead Booster,2025-09-23,2025-11-06,Event,42363.94,215,38,25261.06,987,53689,5474,2508,-40.37,1114.84
CMP1086,Mega Discount Drive,2025-06-13,2025-07-19,Email,5544.68,311,13,1975.93,5080,40585,3946,2211,-64.36,426.51
CMP1087,New Product Launch,2025-11-26,2026-01-01,Email,5693.4,2817,753,253932.99,18201,192579,1722,2014,4360.13,7.56
CMP1088,Flash Sale Campaign,2025-12-06,2025-12-30,Social Media,10973.65,5166,545,375055.48,32057,163911,6118,2240,3317.78,20.14
CMP1089,Event Outreach,2026-04-07,2026-05-06,Social Media,7175.82,3161,58,27636.17,11005,149514,449,217,285.13,123.72
CMP1090,Customer Retention Program,2025-10-29,2025-11-20,Influencer,20739.56,1414,293,171139.2,5496,127586,3917,1355,725.18,70.78
CMP1091,Customer Retention Program,2025-07-26,2025-09-09,Social Media,5604.57,2131,608,375256.2,11519,125858,2259,70,6595.54,9.22
CMP1092,Email Re-engagement,2025-09-10,2025-10-24,Email,1110.47,181,29,3462.77,2217,79564,7444,1492,211.83,38.29
CMP1093,Holiday Campaign,2026-03-11,2026-03-24,Event,28665.06,548,27,16343.78,4371,10683,7084,2820,-42.98,1061.67
CMP1094,Festive Bonanza,2026-01-18,2026-02-22,Social Media,13690.47,3732,262,116046.64,42865,218879,5427,1570,747.65,52.25
CMP1095,Flash Sale Campaign,2026-02-07,2026-03-04,Event,28738.7,226,15,9362.67,912,61387,9133,2962,-67.42,1915.91
CMP1096,Social Media Hype,2025-08-30,2025-10-03,Event,45187.91,738,116,31758.48,2876,59239,5220,2734,-29.72,389.55
CMP1097,Referral Push,2025-11-19,2025-12-05,Event,9886.73,136,36,5784.18,863,16188,1082,2412,-41.5,274.63
CMP1098,Holiday Campaign,2026-02-23,2026-03-23,Social Media,7340.51,8124,174,47626.99,52170,398830,1797,2377,548.82,42.19
CMP1099,Holiday Campaign,2025-08-28,2025-09-13,Event,16642.53,775,114,49697.39,2968,19184,7130,2307,198.62,145.99
CMP1100,Customer Retention Program,2026-03-26,2026-05-07,Social Media,9916.93,12812,503,278005.03,57359,394893,5667,1447,2703.34,19.72
CMP1101,Summer Sale Blast,2025-08-12,2025-08-28,Event,9992.17,201,19,5535.75,851,9018,6162,1286,-44.6,525.9
CMP1102,Lead Booster,2025-10-25,2025-12-07,Social Media,13483.45,3177,88,30174.25,13316,131568,7342,1706,123.79,153.22
CMP1103,Referral Push,2025-08-30,2025-10-08,Social Media,6487.25,4734,1040,282068.82,21562,108138,3712,1628,4248.05,6.24
CMP1104,Flash Sale Campaign,2025-06-09,2025-06-16,Influencer,11028.39,2408,295,114571.78,9993,130747,7155,729,938.88,37.38
CMP1105,New Product Launch,2025-11-22,2026-01-02,Influencer,15005.25,854,228,83230.86,5723,205685,1375,1292,454.68,65.81
CMP1106,Flash Sale Campaign,2025-12-17,2026-01-29,Event,37508.46,194,7,4037.74,2471,59747,7638,2834,-89.24,5358.35
CMP1107,Event Outreach,2025-11-13,2025-11-25,Event,43312.83,723,142,38676.57,3669,36891,5662,917,-10.7,305.02
CMP1108,Email Re-engagement,2025-08-06,2025-08-17,Social Media,8897.86,7398,1943,1137282.48,53870,151661,3971,431,12681.53,4.58
CMP1109,New Product Launch,2025-09-20,2025-10-09,Influencer,17047.98,3629,838,359934.41,12609,59506,9594,1848,2011.3,20.34
CMP1110,Brand Awareness Drive,2026-02-25,2026-03-24,Email,2056.7,2547,323,37089.03,15865,27900,8412,313,1703.33,6.37
CMP1111,Referral Push,2026-01-03,2026-02-07,Social Media,2739.57,1509,462,213123.0,21813,486048,8407,1584,7679.43,5.93
CMP1112,Black Friday Promo,2026-03-05,2026-04-16,Social Media,7846.54,8617,1145,198696.28,40464,474576,1113,1855,2432.28,6.85
CMP1113,Festive Bonanza,2025-11-03,2025-11-15,Influencer,5782.84,5393,1214,788032.66,29797,249511,6447,1684,13527.09,4.76
CMP1114,Customer Retention Program,2025-11-01,2025-12-16,Social Media,12259.95,1657,99,25360.94,24931,389374,9974,625,106.86,123.84
CMP1115,Email Re-engagement,2025-06-22,2025-08-05,Influencer,23334.93,2194,70,33527.61,26687,182650,5481,533,43.68,333.36
CMP1116,Brand Awareness Drive,2026-02-05,2026-02-17,Event,28865.0,390,130,72152.19,3070,7389,3245,937,149.96,222.04
CMP1117,New Product Launch,2025-07-30,2025-08-10,Email,6911.0,4158,1235,127703.25,17135,36513,5617,2541,1747.83,5.6
CMP1118,New Product Launch,2026-03-13,2026-04-13,Influencer,8244.94,1808,265,180503.41,29683,106790,4768,1848,2089.26,31.11
CMP1119,Mega Discount Drive,2026-02-09,2026-03-03,Email,7759.18,973,324,118662.27,6857,132949,4716,1574,1429.31,23.95
CMP1120,Holiday Campaign,2026-02-06,2026-03-11,Influencer,21337.82,1095,201,132511.66,17384,92560,8552,520,521.02,106.16
CMP1121,Referral Push,2025-06-23,2025-07-10,Email,4145.23,1373,81,47494.84,5328,144572,5827,119,1045.77,51.18
CMP1122,Influencer Buzz,2025-06-08,2025-07-10,Email,2650.45,1356,52,14969.76,12785,31392,2492,573,464.8,50.97
CMP1123,Summer Sale Blast,2025-10-05,2025-11-11,Influencer,20176.82,6196,115,19860.75,30399,265948,8747,1743,-1.57,175.45
CMP1124,Festive Bonanza,2025-10-06,2025-10-28,Email,1852.94,2990,129,50296.34,14256,72505,8882,77,2614.41,14.36
CMP1125,Brand Awareness Drive,2026-01-30,2026-03-14,Influencer,19370.89,1467,209,40992.14,29130,172710,1502,2154,111.62,92.68
CMP1126,Email Re-engagement,2025-06-15,2025-07-25,Social Media,7075.9,1222,420,37829.48,5853,296486,1206,1422,434.62,16.85
CMP1127,Mega Discount Drive,2026-03-29,2026-04-11,Email,1933.87,2476,583,294125.36,18391,102353,7940,2597,15109.16,3.32
CMP1128,New Product Launch,2025-07-20,2025-07-31,Event,8590.3,113,35,9528.65,458,31422,6624,2234,10.92,245.44
CMP1129,Black Friday Promo,2025-09-18,2025-09-27,Influencer,10722.22,2691,769,252242.38,22753,45063,7304,1593,2252.52,13.94
CMP1130,Email Re-engagement,2025-08-15,2025-09-22,Event,22795.92,571,19,11207.18,2284,73062,9037,1213,-50.84,1199.79
CMP1131,Email Re-engagement,2025-07-03,2025-07-15,Email,5626.43,3032,504,150171.4,15111,90346,793,2987,2569.04,11.16
CMP1132,Social Media Hype,2025-11-08,2025-12-12,Email,5476.29,644,103,56128.49,2958,25036,2721,137,924.94,53.17
CMP1133,New Product Launch,2026-03-19,2026-04-23,Social Media,3640.99,11413,1665,166631.37,54020,173729,2613,2791,4476.54,2.19
CMP1134,Black Friday Promo,2025-11-17,2025-12-17,Event,39812.63,628,82,55392.84,4437,23047,524,772,39.13,485.52
CMP1135,Black Friday Promo,2026-02-01,2026-03-04,Social Media,5403.1,7939,2769,1794912.66,49139,186466,8147,829,33120.05,1.95
CMP1136,Festive Bonanza,2025-07-20,2025-07-31,Event,14424.22,206,69,34090.19,819,63341,1163,2262,136.34,209.05
CMP1137,Holiday Campaign,2025-10-07,2025-11-02,Influencer,19236.18,4374,301,49997.2,24690,111273,8194,117,159.91,63.91
CMP1138,Email Re-engagement,2026-02-19,2026-04-03,Email,4271.84,964,55,38486.19,4752,154610,7942,2163,800.93,77.67
CMP1139,Influencer Buzz,2025-12-07,2026-01-19,Social Media,3629.25,3090,553,88240.8,45096,216213,9132,2630,2331.38,6.56
CMP1140,Flash Sale Campaign,2025-08-13,2025-08-28,Event,28623.14,200,25,16488.44,1117,12263,3794,1427,-42.39,1144.93
CMP1141,Holiday Campaign,2025-10-04,2025-10-16,Email,2374.11,771,97,37984.75,9493,154399,2862,2434,1499.96,24.48
CMP1142,Flash Sale Campaign,2025-07-29,2025-08-15,Email,6897.71,473,16,7001.57,1849,157749,3553,2353,1.51,431.11
CMP1143,Influencer Buzz,2026-03-24,2026-04-01,Event,45226.87,520,65,37736.18,2472,76509,6753,1228,-16.56,695.8
CMP1144,Black Friday Promo,2025-06-18,2025-06-28,Influencer,13792.11,3175,711,373548.73,31437,273887,5758,1643,2608.42,19.4
CMP1145,New Product Launch,2025-11-17,2025-12-26,Social Media,6148.51,1288,27,8590.67,11029,294565,6950,1026,39.72,227.72
CMP1146,Social Media Hype,2025-08-01,2025-08-28,Email,2328.84,5031,902,350309.35,16827,51770,1575,1620,14942.22,2.58
CMP1147,Holiday Campaign,2026-01-01,2026-01-23,Influencer,16666.88,518,114,56653.76,4312,45510,4781,2208,239.92,146.2
CMP1148,Summer Sale Blast,2025-07-06,2025-08-09,Influencer,22649.11,3880,613,123020.69,27427,211772,9164,1192,443.16,36.95
CMP1149,Festive Bonanza,2025-11-25,2026-01-03,Event,39869.38,88,5,3459.04,1073,41663,9239,1507,-91.32,7973.88
CMP1150,Customer Retention Program,2025-07-24,2025-08-12,Event,28503.35,35,4,1453.33,418,10938,8546,582,-94.9,7125.84
CMP1151,Email Re-engagement,2026-03-21,2026-04-17,Influencer,12859.09,4074,786,337204.25,23044,176884,7880,78,2522.3,16.36
CMP1152,Email Re-engagement,2025-10-28,2025-11-11,Event,32099.19,841,285,159947.83,4989,8492,9563,942,398.29,112.63
CMP1153,Lead Booster,2025-06-07,2025-07-21,Event,14332.02,334,35,18001.3,1310,54832,3225,87,25.6,409.49
CMP1154,Black Friday Promo,2025-10-19,2025-11-21,Influencer,13259.2,4894,1104,669017.09,27894,126897,1120,2900,4945.68,12.01
CMP1155,New Product Launch,2026-02-01,2026-02-21,Email,7986.86,2555,858,352242.27,17718,135402,9050,1461,4310.27,9.31
CMP1156,Brand Awareness Drive,2026-04-06,2026-04-29,Event,15267.36,452,46,12167.97,2385,37311,4835,2897,-20.3,331.9
CMP1157,Mega Discount Drive,2026-01-17,2026-02-13,Event,21998.54,197,48,33009.58,2457,40842,5754,609,50.05,458.3
CMP1158,Referral Push,2025-06-02,2025-06-27,Social Media,6502.73,5247,961,397775.5,45989,281932,9308,2861,6017.05,6.77
CMP1159,Referral Push,2025-07-21,2025-08-03,Influencer,9849.16,3307,154,80813.35,15789,298418,1747,2800,720.51,63.96
CMP1160,Customer Retention Program,2025-07-21,2025-07-28,Influencer,13138.15,6865,1866,479482.72,32290,269403,1069,376,3549.55,7.04
CMP1161,Brand Awareness Drive,2026-03-01,2026-03-22,Social Media,13871.99,8221,709,495056.78,30386,141784,6604,2039,3468.75,19.57
CMP1162,New Product Launch,2025-10-07,2025-10-16,Social Media,5879.1,2830,388,185314.11,10032,366031,8690,2033,3052.08,15.15
CMP1163,Event Outreach,2025-07-19,2025-08-27,Event,18731.99,254,44,8599.51,2808,19764,5623,1218,-54.09,425.73
CMP1164,Flash Sale Campaign,2025-08-18,2025-09-05,Event,42560.56,199,48,8024.61,2786,72538,5401,1026,-81.15,886.68
CMP1165,Summer Sale Blast,2025-09-22,2025-10-23,Influencer,13934.71,2836,102,51970.69,22602,159981,1117,2745,272.96,136.61
CMP1166,Festive Bonanza,2026-01-05,2026-01-31,Influencer,13108.33,4758,1115,343283.1,21380,283465,3718,907,2518.82,11.76
CMP1167,New Product Launch,2026-01-11,2026-01-27,Event,39152.6,790,254,146618.17,3506,53971,3678,1023,274.48,154.14
